,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,quarter_hour_cos,quarter_hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
30,500.0,3.053938222,20.0,1.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,93.59198147877885,26546.700802681677,0.9362659502760393,0.7874166683395223,89.946504705615,24481.303228755158,0.9426858195535261,0.8040244357473144,94.25304403290977,27259.308882195593,0.9202998295205825,0.7338175922672929
31,265.1256525,6.407670793,2.839017989,8.48701252,0.787560015,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.838920223626,26014.584071231217,0.9374994680460194,0.791677806039639,87.63350375024721,25968.578211637825,0.937902110911161,0.7921186335420224,94.49059621797457,29802.654137538662,0.9159553053965226,0.7089822684266012
32,287.908652,19.0,4.848374568,4.0,0.974596484,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,28.195978382190237,3887.1438957818805,0.9918669300022768,0.9688721394740877,56.51473323417252,12732.6893305038,0.9733755822226206,0.8980734010488168,61.005468930050185,14022.847732057524,0.9631869998640528,0.8630693320685701
33,427.6983138,12.84487662,15.23146278,3.22732168,0.680421092,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,34.59226074382888,5441.374942192235,0.9885154722798271,0.9564260123085346,56.40847430189571,12592.795335990395,0.9735152968551689,0.899193268085884,62.0950789967881,14253.973850650558,0.962442381045008,0.8608124257396943
34,329.0,8.0,11.0,16.0,0.640894647,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,47.83802452115127,9573.42584221652,0.9793665552631479,0.923336960925204,58.3471040920377,13184.932137034226,0.9720462900090685,0.8944531469160664,63.63706127879869,14717.929470190526,0.9609500074386633,0.8562819798496691
35,500.0,15.28814718,6.659423756,1.0,0.399125411,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,32.1934118977233,4220.796631700371,0.991103818059704,0.9662002816509105,61.49702810892075,13758.488939447236,0.9708096861182473,0.8898617607086593,66.67522656275084,15531.414716616897,0.9587147855594463,0.8483384379761539
36,370.8067344,15.25244466,6.984294283,4.964952634,0.291394463,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44.07707733034357,7934.379609962441,0.9829211356440553,0.9364622796376117,60.84683053598838,14065.512491153497,0.9699127970227815,0.8874040029160176,68.54420297586948,16717.36029101063,0.95541061841916,0.8367578858133565
37,247.9208777,11.64600295,13.15052379,6.480919342,0.983065021,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,35.83354366879114,5947.782955597924,0.9874380310992602,0.9523707474577525,56.520945623492416,12691.278253105555,0.9733167480051306,0.898404901344516,60.710650788723875,13903.263078274125,0.9634114762307429,0.8642370554033586
38,208.3878648,20.0,16.50669897,10.77903604,0.001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,95.47014396162932,26433.14603670606,0.936092891409732,0.7883260035769385,106.83688120224531,31906.079737491724,0.9237128058585513,0.7445882712525812,108.45595329782901,33681.08900064755,0.8988640973537109,0.6711100268903863
39,431.4291629,16.08127638,5.131157177,11.37188304,0.740801782,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,53.141864679401436,10995.925757762087,0.9760602155921568,0.9119457235137787,64.82988932922494,15239.728831391043,0.9671949247207416,0.8780042700797981,71.5202424387431,18140.67584169258,0.9512997388235498,0.8228594571378086
