,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,tree_method,max_bin,importance_type,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
177,500.0,2.0,0.1,0.1,0.7471233775669661,0.3157502341897589,0.9489311608595736,0.1604904093840351,2.0,1.5836842542577032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.662572922288,888091.9770752477,0.8253631489731654,0.5296939382062712,609.486442423361,856929.0554543822,0.8311478701743189,0.5463353923124363,576.5867232227771,751080.6970550475,0.8335646430674407,0.5094011119464736
178,500.0,6.0,1.0,0.9543697106545822,0.1098720943908222,0.6207825018767364,1.0,0.8031622271791594,10.73774494498936,2.54329486930539,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.63369773421834,315960.83428405406,0.9524509692412312,0.8326769079227885,319.1146670848737,295244.1933902838,0.9570363356202009,0.843695530786487,319.7946192722464,303520.7709842735,0.9429694538448445,0.8017430705783136
179,189.9055918109539,2.0,0.4301426138967215,0.3385140093867427,0.1,0.367640118653886,0.2546274294962623,0.0,13.330647277629089,3.0427845550689825,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.25527911511745,314256.2077082298,0.9529687913382825,0.8335796254705194,323.8899084216212,296175.86251091724,0.9577253865478226,0.8432022982330842,317.1888340751408,293163.69040692307,0.9458488085413207,0.8085082187636576
180,218.13293473236556,6.582924327552928,1.0,0.4861196978112271,0.1,0.7503239943858653,0.9825455185518563,2.0,13.757252998818918,2.987002195859266,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.98056487286414,307454.8027085812,0.9535136419378551,0.8371814393396001,311.17417916277293,288688.6766918018,0.9583522924987579,0.847166070024568,310.5119604974112,287556.27697816974,0.9461333498075096,0.8121709287810889
181,427.3504025899048,2.6177514577366185,0.1,1.0,0.136516097906038,0.9051452275921944,0.3564400382369869,1.2239018040027656,13.832866651845542,3.3980358322320554,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.99622874192846,306841.68533126084,0.9540495641115361,0.8375061273523152,317.89944890419264,288120.00533762673,0.9587364261042752,0.847467128863865,309.9250263458695,286483.01045585127,0.9468776545598888,0.8128719764374847
182,241.2915636885372,2.8483010949505414,0.740161623370531,0.8197777401131382,0.1,0.5076438588868768,0.4875201952575394,1.1222099617315444,12.23595177392416,2.449566898219921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.46805039109864,317878.89381370303,0.9521644623380968,0.8316611628795263,319.4878559812872,286947.5620436837,0.9582838020100467,0.8480878290532179,318.1830349640813,292937.2543809673,0.9451197699685887,0.8086561246584366
183,171.6219428176787,2.745663538208172,1.0,0.6168677987351214,0.1,0.6551393260153188,0.7742375957977086,1.757066827317122,10.122147686486104,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.96280986843215,324094.3400712521,0.9514917297537121,0.8283696546493706,324.5934680794299,302347.91124755313,0.9556279590271706,0.839934769782611,323.68624506623956,303232.1396013015,0.9437277502642469,0.8019316018987145
184,500.0,2.322751979617668,1.0,0.99759793570733,0.1,0.5567580279608999,0.4875201952575394,2.0,14.442188086002329,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.9238722745598,306846.02123231627,0.9540092744215266,0.8375038311931309,317.46697503334957,287897.6170914221,0.9587320297606557,0.8475848628534253,309.8981320349362,286499.5380856296,0.9468193912759022,0.8128611807442613
185,500.0,2.833775127855256,0.9719463097102866,1.0,1.0,0.1878043866989073,0.680349860883383,1.3903284798226858,13.717407569807529,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.9962329551923,306841.68533080735,0.954049583023075,0.8375061273525555,317.8994999624217,288120.0828136903,0.9587364329389433,0.8474670878474614,309.9250474730583,286483.0366503282,0.9468776706014167,0.8128719593274973
186,378.1112546658516,2.0,1.0,0.6327849589457082,1.0,1.0,0.3464968549337897,0.0,12.556668428281045,0.4571959555256012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.5562075617409,475408.62964168476,0.9228860182915334,0.7482382837351208,358.28385710354115,421029.832659548,0.9305462288499123,0.777103678953943,374.0572517004614,462354.5038286423,0.9158072590942272,0.6979943615189899
187,171.14133932797148,2.2853328474785988,0.6153753303453192,0.4220330980667476,0.103666634651222,0.5912689507488755,0.9380211813680688,0.7512575939654689,13.888668516431157,3.2865850085254307,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.6732889923936,311317.2189460445,0.9531648828391664,0.835136023080316,316.6006016123282,289566.4539387193,0.9574978364551449,0.8467013682294482,315.1405341900379,287692.2278760549,0.9465493962589532,0.8120821269258505
