,layers,neurons,batch_size,learning_rate_init,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,quarter_hour_cos,quarter_hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
233,4.358884232,40.05469894,1024.0,0.055056258,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,72.0362460193072,17732.28338603801,0.9610576539843199,0.8580016436629706,78.5119132286212,19643.40793144706,0.9545345091352195,0.8427523274704862,82.10367576450673,21375.938307804736,0.9437247954251705,0.7912676821372523
234,4.373439277,32.4264718,1024.0,0.037368204,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,58.000341042734455,12472.225221740937,0.9730625129010924,0.9001236646856813,64.19912225191361,14655.182651668667,0.9686891347164461,0.8826836274788882,70.24462919353036,16149.15424729589,0.9576379963788807,0.8423063189544129
235,6.0,12.0,873.0,0.041467742,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,62.00963263365123,14534.171436189215,0.9678599159644868,0.8836118051054563,62.76245653825924,14887.530369401655,0.9681476802343129,0.8808236580703944,74.12886798555908,18128.54349053667,0.9510991942711081,0.8229779274356469
236,4.28207914,38.8133995,1024.0,0.060742679,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,52.94484484311651,10953.304629551198,0.9768956753481486,0.9122870292564976,59.460866446588014,13050.990823928836,0.972826535698755,0.8955253620741934,62.6308522202486,13648.531431203655,0.9643736793499776,0.8667244656101237
237,5.706123259,50.0,1024.0,0.018593336,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,51.12240035524635,10646.97940711809,0.9770220887513233,0.9147400510779471,57.174844217589154,12930.62853270365,0.9732988170457249,0.8964888756468653,64.64112101722218,14610.918918624162,0.9616900552237267,0.8573269192643784
238,5.971060467,50.0,1024.0,0.040290319,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,51.131572043607484,10148.583511884286,0.9789425748430038,0.9187311556857184,59.12067666332891,12901.788453293386,0.9726760487112877,0.8967197437008535,65.67015184006888,14573.283745347357,0.9628363315149001,0.8576944201823786
239,6.490698551,32.92629124,1024.0,0.051876655,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,53.90065749296835,11139.44444307984,0.9762193164939336,0.9107964401995485,59.26633729714019,12794.583572446916,0.9727281651075211,0.897577930735188,63.6028158522826,14252.318306783722,0.962849051826038,0.8608285918374661
240,2.376574973,50.0,665.8799772,0.02922867,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,54.727443567153784,11363.260193322714,0.9757270787665159,0.9090041460000406,58.82813417643917,13038.758395508487,0.9719675032254328,0.8956232840287339,64.53699507316786,14528.841660303367,0.9619847829856962,0.8581283894092873
241,1.505018763,38.28155656,1024.0,0.050576015,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.33043970677312,25214.377212208823,0.9405557876977788,0.7980857827359884,80.53898222401021,22807.813924186492,0.9489365829569095,0.817420904377647,85.44799165407215,25425.46005371738,0.9271657788584435,0.7517248069619752
242,7.0,31.25625841,238.5764448,0.027159148,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,66.8348725816839,16009.488120398068,0.9658697888658382,0.8717976162797125,69.44805859558271,16563.728836358514,0.9629049265270291,0.8674055022928246,77.93938835467698,20169.780089069838,0.9486735915239005,0.8030456072547576
243,4.820001328,50.0,257.9237246,0.073990099,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,58.696829857006485,12232.44233399135,0.972951527112111,0.9020438221294201,62.424005173986814,13405.354906583767,0.9716309571295583,0.8926886380485044,70.38062954604982,15512.894087319732,0.958127332543558,0.8485192886983915
244,6.656570517,10.0,138.5437181,0.01644981,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63.38185836107845,14189.31173682886,0.9684603658957054,0.8863734071738403,66.25137143832868,14999.117366684935,0.9681882761031367,0.8799303917049761,72.47140197917534,17161.812559716684,0.9533288426837576,0.8324178867503681
245,4.696207816,50.0,867.7521671,0.015428296,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,60.41568748929957,13717.864711026225,0.9697166656885646,0.8901487079236956,67.31043683799663,16152.808783374057,0.9664430220773506,0.8706949631721697,72.49926384969996,17875.1844980774,0.9518309220963612,0.8254519339089947
246,5.544369849,45.64022541,1024.0,0.019772776,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,54.38192541100089,11628.147402507167,0.9747781712335725,0.9068829556547233,59.44128742073021,13226.945983954507,0.9721360436723778,0.8941168213830794,65.44003049486517,14733.04769817352,0.96079775265872,0.8561343529841988
247,3.901501604,39.37341611,605.7952281,0.070117166,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,66.13501425092595,15720.741832176956,0.9647871796574944,0.8741098677497121,70.3477124249369,16666.862415140695,0.9629153022309247,0.8665799064858377,77.18319860752361,19561.773561630336,0.9460934151688741,0.8089826851935441
248,3.775606803,45.48207301,486.2202736,0.051689847,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,64.15891514086371,15248.17170819846,0.9662627542204923,0.8778941621577165,67.0784299930007,15986.68541981606,0.9648844585729474,0.8720247992354145,72.81127100291766,18409.663258117973,0.9509663175204703,0.8202328418239965
249,5.192552815,46.0,372.2357596,0.008995145,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,54.42726317914847,11352.556982763874,0.9763089668883633,0.9090898562424159,57.07360439030476,11984.105203105353,0.9749184874390239,0.9040659005243022,63.31296706783869,13803.319731300306,0.9647762797000998,0.8652129847950143
