,layers,neurons,batch_size,learning_rate_init,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
44,3.521027164,20.16119975,816.2005509,0.036160371,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,221.7183307700114,160515.3582819352,0.9776188359141527,0.9149960274839979,229.87089797450255,167210.69366183114,0.9771587542270374,0.9114774166444422,238.93388487381367,176415.75378131703,0.9701267692773224,0.8847668792719678
45,6.140304073,40.0,509.2315732,0.009390912,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,159.00705619214293,85812.36767318672,0.9882285793586535,0.95455642238039,204.12490978262014,130063.61192044514,0.9824513481238334,0.9311433576668385,208.50987878794717,144492.38907265186,0.9754504889370319,0.9056189225882275
46,2.732550575,42.81984822,943.3171699,0.078259032,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,170.78234815164635,98650.18483275556,0.9862673853674113,0.947757911205648,196.1901925208062,121840.81716609349,0.9836861653602328,0.9354965662931353,218.73011300898816,146039.07228955347,0.9750584074352027,0.9046086435737911
47,5.085271681,16.91730851,83.61036677,0.02082281,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,201.09223013048003,136609.30917480367,0.981216489615593,0.9276559321997793,217.05215332104743,150635.0268054403,0.9792719244548846,0.9202526978111858,237.76556064180997,177976.36778709738,0.9703687334697041,0.883747500796501
48,2.0,20.0,872.8987996,0.1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,181.14463014648143,112426.07001621446,0.9845892099035891,0.9404626281993855,197.38483290826608,125884.57914630594,0.9827336314150342,0.9333557686615714,227.43460869365543,165142.1192824277,0.9721769112647163,0.8921307119082786
49,5.353132314,12.22852946,32.89126936,0.018881998,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,205.46938817374507,156140.37756373637,0.9779626654424578,0.9173128820498682,205.96842103099277,152189.41694867815,0.9796133920557788,0.9194297921225095,232.1151636330575,173611.20882405472,0.9700115675456829,0.8865987818130981
50,6.384547849,48.22802006,116.4045671,0.054455507,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,185.71395334197064,113408.54097770959,0.985550534050154,0.9399423419445212,193.32713875846753,117778.52227777593,0.984019919738222,0.9376471753839223,228.34679763787736,167998.8289490025,0.973920376580501,0.8902647358668112
51,2.988824138,26.01327227,1.0,0.035076406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,409.0373980028109,464862.69819023553,0.9259134129358257,0.7538230830767518,359.377937024778,405772.6627885318,0.9343454664693467,0.7851809380221244,393.05445782050907,471179.8751665669,0.9159775794397187,0.6922297114860148
52,2.0,13.65657542,542.2266022,0.072964176,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,182.38841721810658,117616.98369434457,0.9837966122576757,0.9377136807569003,203.21376213386816,128460.21800134469,0.982845517398497,0.9319922063184829,226.76790810649888,163201.33259514163,0.9725615247951598,0.8933984156243573
53,2.950078137,11.5065455,481.0,0.069728717,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,410.8700535976272,467174.61425862083,0.924036049867791,0.7525987637839454,420.5970961358708,485309.1618482887,0.9228387134392356,0.743073724579987,419.14872183600534,483704.17180508556,0.9110908516927302,0.6840489580348854
