,learning_rate,num_leaves,max_depth,bagging_fraction,feature_fraction,num_boost_round,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,quarter_hour_cos,quarter_hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
42,0.013435979,25.69522469,62.34875222,0.377067671,0.742634777,549.1886452,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51.181732826151475,9750.665537400491,0.9790479513605312,0.9219176431280603,61.86136437817911,14169.139762105551,0.9702117496610465,0.8865744550481189,70.03935233728626,16932.41911659668,0.9553702490941682,0.8346578738047596
43,0.016228002,100.0,64.0,1.0,0.4375706,599.4250649,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,29.31747361972831,2944.49165036409,0.9938855398646275,0.9764208046139721,57.764055711529096,12710.573868635667,0.9731805002653945,0.8982504377889698,62.331019319841246,14480.672308157142,0.9618510331024923,0.8585987547508525
44,0.01,40.25626479,41.91853882,0.603405378,0.878736549,593.3922189,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,43.13831350657928,6516.573003474155,0.9861692753004839,0.947815933498323,57.04711589720415,12697.008276896364,0.9732734905211153,0.8983590318646484,62.93704046156348,14133.989868226752,0.9626225238356507,0.8619840484491675
45,0.150316217,2.0,26.03622035,0.806209971,0.736739865,908.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,81.12684446147036,19015.356889408427,0.9562108402622904,0.8477269190507051,82.91082272194902,18981.889477814606,0.9569591293592768,0.8480478565116817,89.17999744662953,21933.146400173508,0.9381355003717267,0.7858266420772917
46,0.01,100.0,62.0,0.896684425,0.696434329,833.0609508,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,28.4612584886383,2728.440625692403,0.9943431824681248,0.978150919665735,56.73552222363156,12427.55569675988,0.9736161856410862,0.9005160298372712,61.36951123751424,13834.25918916534,0.9635524734000136,0.8649108663728617
47,0.01,2.0,50.37408192,0.884944686,0.46493986,867.7325071,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.87157193424478,20235.022314722926,0.9529891426868028,0.8379599600017577,79.82407382429172,18959.473076765495,0.9567078942922084,0.8482273023035607,85.62403997633449,22041.630218603503,0.9382196235088719,0.7847673164680281
48,0.01,100.0,61.24127636,0.319253958,0.843331429,937.3477768,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,26.06117037261143,2249.402405053289,0.995360902504143,0.9819870099465235,56.13903454440209,12505.103682491643,0.9739137294433196,0.8998952495577888,61.2566546958449,13893.674403072473,0.963649597154725,0.8643306871481389
49,0.177504481,100.0,34.88886786,0.420413652,0.759922399,167.6524324,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.98710334871754,16290.245614191632,0.9633923787311932,0.869549338278506,97.29057997942688,34488.81313995378,0.9205636720474449,0.7239132021546565,97.60604396438532,34560.21092601549,0.906087971009779,0.6625255542687092
50,0.01,78.66001874,41.45135468,0.56873256,1.0,1000.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,34.05561849600724,4226.636380023303,0.9911731910803526,0.9661535175289289,63.76034756187779,15367.47722687828,0.9680614076174535,0.8769816299182817,69.66927015587639,17593.743441137798,0.9541081549910142,0.8282001568553201
51,0.151904172,80.13047399,2.505837076,0.1,0.94767962,100.0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,50.82793133902,9472.515990022406,0.9797069118328531,0.9241450369545472,59.34588840602174,12895.356024216144,0.972878330735335,0.8967712360134216,64.00245114642829,13936.597510017009,0.9631903162299519,0.8639115504780479
